Perfil	ST_0_5_cm	ST_5_15_cm	ST_15_30_cm	ST_30_60_cm	ST_60_100_cm	X	Y	top	pH	COT	Al	Ca	Mg	Na	K	H_Al	P	Valor_S	CTCefetiva	Valor_T	Valor_V	m	SPS	s10ndvi	s10savi	s10b2	s10b3	s10b4	s10b8	s20b2	s20b3	s20b4	s20b5	s20b6	s20b7	s20b8A	s20b11	s20b12	lanb1	lanb2	lanb3	lanb4	lanb5	lanb6	lanb7	lanndvi	dem	hill_shade	aspect	convergence_index	curv_cross_sectional	curv_general	curv_longitudinal	curv_maximal	curv_minimal	curv_profile	curv_tangencial	difference	diurnal_anisotropic_heat	effective_air_flow_heights	gradient	Mass_balance_index	mid_slope_position	MRRTF	MRVBF	normalized_height	saga_wetness_index	slope_degress	slope_height	standardized_height	terrain_ruggedness_index	terrain_surface_classification_iwahashi	terrain_surface_convexity	valley_depth	amb_pedo
P775	2.27	2.31	3.22	3.63	4.46	538514.44	8750051.35	0	5.7	4.39	0.05	0.92	0.2	0.07	0.1	1.96	5.59	1.3	1.35	3.26	39.83	3.62	2.27	0.44	0.66	571.36	1001.56	1134.28	2925.04	577.4	1004.67	1133.54	1747.54	2527.39	2787.22	3112.11	3364.13	2120.46	208.13	355.48	770.15	913.4	2863.13	2936.03	1784.03	0.52	314.54	166.71	84.21	-0.17	0	-0.01	0	0	0	0	0	0.05	-0.05	132.51	0.04	-0.16	0.57	0.27	0.48	0.22	6.84	5.49	4.71	203.78	0.62	87.4	39.6	18.02	3
P776	2.29	2.23	2.04	2.17	2.45	536805.46	8749271.6	0	5.34	4.19	0.29	0.51	0.2	0.07	0.06	2.48	2.86	0.84	1.14	3.33	25.38	25.73	2.22	0.48	0.71	543.52	859.32	985.52	2762.64	539.04	852.51	975.71	1491.35	2279.21	2545.53	2935.87	3345.3	2151.26	234.07	334.23	653.35	766.7	2638.79	2822.72	1668.73	0.55	333.37	163.66	178.81	3.47	0	0	0	0	0	0	0	0.05	0.1	142.21	0.07	0.01	0.23	0.25	0.3	0.39	6.12	6.66	7.84	236.18	0.74	113	48.57	11.95	3
P779	2.17	2.07	1.9	5.81	10.77	538451	8748556	0	5.13	4.32	0.54	0.41	0.1	0.08	0.12	3	3.2	0.7	1.24	3.71	18.98	43.25	2.11	0.46	0.69	578.48	911.96	1105.32	2987.12	581.88	921.38	1114.73	1666.41	2541.71	2847.5	3110.42	3509.58	2204.87	225.91	337.1	692.41	867.93	2651.46	2910.08	1738.74	0.51	346.04	146.49	180.23	12.51	0.01	0.02	0.01	0.01	0	0	0	-0.05	0.14	166.42	0.28	0.34	0.65	0.31	0.05	0.82	4.47	13.39	13.94	315.8	1.59	99	67.92	3	2
P785	3.39	3.36	3.81	4.78	3.81	537268.03	8747266.16	0	5.85	3.65	0.1	0.82	0.92	0.08	0.09	0.4	16.97	1.9	2	2.3	82.67	4.87	3.4	0.33	0.5	670.44	995.24	1338.84	2612.08	657.42	987.94	1316.9	1737.32	2257.83	2473.57	2790.67	3915.74	2868.89	366.64	464.26	775.8	1012.25	2500.86	3240.38	2216.66	0.42	370.51	177.42	105.44	-1.16	0	0	0	0	0	0	0	0	0	174.69	0.01	0	0.07	0.55	2.6	0.54	8.8	1.03	10.07	278.92	0.11	66	30.82	8.72	5
P787	2.87	2.83	2.87	3.38	4.21	537549.87	8746960.76	0	5.7	3.2	0.15	0.51	0.41	0.09	0.06	1.96	2.59	1.06	1.21	3.03	35.16	12.08	2.87	0.46	0.68	493.56	755.96	968.36	2548.08	484.43	744.75	952.62	1364.97	2117.39	2379.62	2690.41	3199.12	2090.19	240.49	326.44	578.24	749.01	2390.45	2687.28	1636.4	0.52	365.38	177.16	126.36	1.45	0	0	0	0	0	0	0	0	0	170.55	0.01	0	0.31	1.77	3.52	0.35	9.4	0.7	11.62	239.74	0.08	98.92	73.37	21.91	5
P789	1.84	3.21	4.27	3.53	3.29	538241.65	8746490.34	0	4.79	9.38	0.73	0.31	0.31	0.08	0.06	3.7	2.59	0.75	1.48	4.44	16.8	49.48	1.76	0.46	0.7	485.48	724.76	939.04	2534.08	474.51	715.63	926.85	1348.92	2090.63	2376.77	2707.34	3243.38	2068.23	216.34	302.44	535.48	685.77	2362.3	2608.64	1529.41	0.55	354.27	178	100.23	-0.17	0	0	0	0	0	0	0	0	0	162.59	0.01	0	0.34	0.71	3.62	0.33	10.67	0.72	25.05	233.19	0.08	68.16	43.94	50.44	5
P793	2.02	2.53	3.68	5.3	6.58	539114.16	8746216.95	0	4.98	4.84	0.39	0.71	0.61	0.11	0.06	3.7	2.86	1.5	1.89	5.2	28.84	20.65	2.09	0.47	0.71	458.72	714.4	879.4	2451.44	457.07	704.38	874.76	1313.64	2053.63	2326.37	2647.53	3268.75	2085.57	235.19	325.11	569.59	711.66	2329.54	2691.1	1618.45	0.53	341.41	177	106.07	0.43	0	0	0	0	0	0	0	0	0	153.48	0.01	0	0.6	1	2.58	0.2	10.22	0.92	15.17	206.86	0.1	98	53.7	60.37	5
P795	1.52	2	2.84	3.9	4.65	538261.42	8745469.67	0	5.25	4.7	0.54	1.02	0.61	0.08	0.07	3.35	3.27	1.78	2.32	5.13	34.75	23.1	1.52	0.5	0.75	445.76	683.36	851.76	2518.4	452.43	690.8	862.04	1269.44	2084.25	2380.44	2699.15	3155.89	1968.55	234.23	320.96	575.59	731.31	2434.63	2680.96	1623.31	0.54	351.36	177.13	105.74	-0.4	0	0	0	0	0	0	0	0	0	158.68	0.02	0	0.1	1	2.53	0.55	9.01	0.86	30.55	271.45	0.09	98	37.21	24.78	5
P796	1.58	1.79	2.2	2.68	3.06	538943.91	8745202.19	0	5.16	7.91	0.39	0.41	0.2	0.07	0.06	3.87	2.59	0.75	1.14	4.62	16.23	34.21	1.6	0.46	0.69	542.72	838.68	1060.56	2830.56	554.13	849.49	1074.83	1561.55	2373.91	2680.87	3031.61	3560.27	2294.48	292.92	384.54	671.22	869.91	2685.55	2965.78	1822.66	0.51	338.21	175.94	118.11	0.6	0	0	0	0	0	0	0	0	0	151.31	0.02	0	0.3	0.84	2.44	0.35	8.99	1.2	16.47	230.53	0.13	98	62.11	30.79	5
P800	0.86	1.3	2.24	3.02	3.93	537330.17	8743661.81	0	4.41	6.86	1.27	0.2	0.2	0.08	0.05	7.69	3.14	0.54	1.81	8.23	6.56	70.12	0.95	0.44	0.66	504.44	768.28	1063.24	2573.76	467.73	721.1	979.86	1383.98	2079.87	2372.13	2705.91	3341.6	2097.47	219.23	303.02	553.79	731.6	2400.08	2725.06	1575.01	0.53	360	177.37	110.17	0.73	0	0	0	0	0	0	0	0	0	161.05	0.02	0.02	0.34	0.86	2.44	0.67	9.38	1.11	56.27	298.25	0.12	98	76.33	27.78	5
