Perfil	ST_0_5_cm	ST_5_15_cm	ST_15_30_cm	ST_30_60_cm	ST_60_100_cm	X	Y	top	pH	COT	Al	Ca	Mg	Na	K	H_Al	P	Valor_S	CTCefetiva	Valor_T	Valor_V	m	SPS	s10ndvi	s10savi	s10b2	s10b3	s10b4	s10b8	s20b2	s20b3	s20b4	s20b5	s20b6	s20b7	s20b8A	s20b11	s20b12	lanb1	lanb2	lanb3	lanb4	lanb5	lanb6	lanb7	lanndvi	dem	hill_shade	aspect	convergence_index	curv_cross_sectional	curv_general	curv_longitudinal	curv_maximal	curv_minimal	curv_profile	curv_tangencial	difference	diurnal_anisotropic_heat	effective_air_flow_heights	gradient	Mass_balance_index	mid_slope_position	MRRTF	MRVBF	normalized_height	saga_wetness_index	slope_degress	slope_height	standardized_height	terrain_ruggedness_index	terrain_surface_classification_iwahashi	terrain_surface_convexity	valley_depth	amb_pedo
P816	1.4	1.81	2.49	3.11	4.37	533632.72	8732228.63	0	5.36	3.59	0.15	1.12	0.51	0.07	0.07	2.66	3.33	1.77	1.92	4.43	40.01	7.63	1.47	0.42	0.62	631.24	1018.76	1203	2877.84	612.56	998.12	1163.5	1684.1	2422.21	2678	3039.48	3596.33	2456.25	300.79	415.91	794.97	952.87	2739.67	3159.02	2014.67	0.49	282.76	173.39	101.52	-4.83	0	0	0	0	0	0	0	0.03	-0.01	122.78	0.02	-0.04	0.83	0.27	1.65	0.09	7.81	2.7	2.84	182.49	0.3	65	34.09	30.28	4
PE 0003	3.3	4.57	5.51	3.86	6.23	546094.18	8721034.87	0	4.67	5.79	0.44	0.61	0.61	0.17	0.19	3.24	1.82	1.58	2.02	4.82	32.87	21.68	3.61	0.27	0.4	644.92	1125.96	1656.16	2802.16	651.26	1131.44	1661.98	2194.09	2747.64	2837.11	2889.57	4451.5	2871.61	359.14	461.12	832.12	1166.94	2417.36	3377.26	2037.46	0.35	323.28	202.37	300.4	5.1	0	0.01	0	0.01	0	0	0	-0.04	-0.05	162.95	0.2	0.21	0.61	0.19	0.09	0.8	5.48	9.15	18.08	293.79	1.04	113	71.34	4.34	3
PE 0006	3	3.07	3.12	3.14	3.97	540026.82	8749914.17	0	5.54	6.29	0.15	1.02	1.02	0.13	0.13	1.91	3.04	2.29	2.44	4.2	54.58	5.99	3	0.36	0.54	695.68	1193.32	1511.32	3040.96	689.28	1177.42	1488.52	2002.31	2682.83	2945.27	3154.38	3794.38	2477.59	222.07	374.61	889.61	1197.29	2836.94	3339.87	2095.83	0.42	301.72	169.6	54.78	2.93	0	0	0	0	0	0	0	0.09	-0.15	125.84	0.1	0.01	0.32	0.04	0.05	0.45	6.03	10.74	5.32	231.14	1.22	113	51.39	6.98	3
PE 0007	2.86	2.56	2.93	3.43	5.35	540006.14	8750511.84	0	5.33	4.28	0.97	0.61	0.41	0.14	0.12	3.61	1.74	1.28	2.25	4.89	26.18	43.24	2.85	0.46	0.69	603.96	1038.2	1236.52	3136.08	600.57	1023.39	1219.62	1802.91	2647.87	2964.91	3270.13	3482.54	2157.81	231.11	355.62	768.53	988.86	2718.62	2944.82	1782.84	0.47	331.66	138.74	141.48	-0.01	-0.01	0	0.01	0.01	-0.01	0	-0.01	-0.02	0.07	157.28	0.2	0.17	0.62	0.45	0.17	0.6	5.59	10.72	11.9	269.01	1.41	105.56	67.74	6.49	2
PE 0012	3.71	3.24	3.44	5.32	7.73	534950.18	8735848.83	0	5.02	3.86	0.34	0.2	0.1	0.14	0.1	3.26	1.33	0.55	0.89	3.81	14.31	38.49	3.65	0.39	0.59	664.16	1117.96	1301.12	2916.48	677.1	1142.72	1348.48	1918.29	2574.21	2807.84	3095.75	3905.82	2556	349.72	493.98	985.93	1256.07	2937.78	3567.86	2248.17	0.41	298.49	164.66	170.68	7.4	0	0	0	0	0	0	0	0.04	0.08	149.19	0.05	0.09	0.45	0.64	0.33	0.68	6.26	5.43	13.68	258.39	0.62	109.24	53.55	5.85	3
PE 1003	1.63	2.05	2.23	2.16	2.21	532504.12	8743470.86	0	4.66	6.36	0.63	0.2	0.41	0.13	0.09	7.22	2.63	0.83	1.46	8.05	10.31	43.3	1.62	0.36	0.54	700.32	1099.28	1417.12	2927.84	703.61	1101.41	1415.56	1924.3	2561.78	2812.99	3088.99	3746.17	2691.84	253.61	348.74	634.74	809.23	2155.64	2450.94	1561.19	0.46	403.4	195.37	243.47	5.12	0	0.02	0.02	0.01	0	0.01	0	-0.15	0.08	198.04	0.31	0.38	0.76	0.46	0.42	0.88	7.88	9.41	28.3	376.03	1.14	110.84	71.68	3.6	3
PE 1008	2.24	2.33	2.56	2.53	2.28	540086.33	8749933.9	0	4.66	3.49	0.54	0.2	0.1	0.12	0.11	4.81	2.56	0.53	1.07	5.34	9.97	50.15	2.28	0.48	0.72	535.44	895.92	1070.6	2854.08	517.05	874.57	1035.27	1561.83	2401.01	2732.38	3048.94	3385.52	2199.26	216.02	341.67	757.75	942.58	2829.47	3084.7	1923.75	0.51	295.05	170.86	100.12	-13.24	0	-0.01	-0.01	0	-0.01	0	0	0.08	-0.04	120.76	0.04	-0.14	0.82	0.11	0.88	0.09	8.1	6.62	1.63	183.95	0.83	113	43.4	23.19	2
PE1004	1.59	1.73	2	2.49	2.85	531434	8744098	0	4.95	4.19	0.34	1.02	0.61	0.12	0.1	5.84	2.76	1.86	2.2	7.7	24.11	15.53	1.58	0.51	0.76	551.28	884.68	1000.44	2962.96	542.47	872.95	985.35	1524.82	2462.76	2801.53	3157	3262.37	2112.32	302.01	402.87	725.37	854.86	2819.74	2892.57	1806.66	0.54	385.06	174.87	160.16	-9.1	0	0	0	0	0	0	0	-0.03	0	174.38	0.04	-0.01	0.65	0.19	2.92	0.17	8.7	0.13	6.99	209.71	0.02	21.56	39.96	33.44	2
T0048	1.16	1.3	1.79	2.53	NA	528203.27	8725071.3	0	4.98	3.9	0.39	0.41	0	0.03	0.02	1.89	0.8	0.46	0.85	2.35	19.53	45.94	1.3	0.29	0.44	780.72	1091.4	1492.4	2715.76	767.69	1080.56	1470.34	1934.27	2346.74	2570.14	2917.67	4219.75	3076.16	554.52	635.71	921.47	1230.07	2662.4	3675.75	2553.41	0.37	354.42	175.99	115.57	-1.26	0	0	0	0	0	0	0	0	0	173.39	0.02	0	0.15	0.5	2.4	0.42	8.44	1.35	9.02	249.96	0.15	78.8	32.29	12.26	5
T0049	1.38	1.48	1.82	2.29	NA	528146.82	8725225.94	0	4.98	5.05	0.24	0.82	0.1	0.05	0.03	2.23	1.84	1	1.24	3.23	30.9	19.61	1.48	0.29	0.44	804.92	1129.96	1517.28	2758.96	796.76	1127.76	1501.74	1962.68	2410.38	2613.89	2947.39	4270.39	3133.69	567.84	651.35	956.54	1263.88	2677.58	3696.3	2598.91	0.36	357.67	175.01	105.2	0.49	0	0	0	0	0	0	0	0	0	175.41	0.02	0.01	0.09	0.8	2.26	0.54	8.48	1.3	12.54	273.43	0.14	94.16	62.5	10.53	5
